Hemisphere;Latitude;Longitude;Species;Order;Mean;SD;CV (%);Reference
North IP;48°31'N;123°01'W;Agarum fimbriatum (holdfast);Laminariales;4.74;1.37;28.9;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Agarum fimbriatum (stipe single event);Laminariales;14.22;3.67;25.81;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Agarum fimbriatum (stipe);Laminariales;7.58;1.72;22.69;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Hedophyllum sessile (field blade);Laminariales;4.92;1.06;21.54;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Hedophyllum sessile (field holdfast);Laminariales;4.68;0.98;20.94;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Hedophyllum sessile (relocated blade);Laminariales;5.35;0.93;17.38;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Laminaria complanata (stipe);Laminariales;2.25;0.51;22.67;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Laminaria groenlandica (adult blade);Laminariales;1.27;0.34;26.77;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Laminaria groenlandica (adult stipe);Laminariales;3.12;1.07;34.29;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Laminaria groenlandica (juvenile blade);Laminariales;1.65;0.34;20.61;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Pleurophycus gardneri (blade);Laminariales;5.44;1.65;30.33;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Pleurophycus gardneri (holdfast);Laminariales;4.55;1.2;26.37;Hammerstrom et al. 1998
North IP;48°31'N;123°01'W;Pleurophycus gardneri (stipe);Laminariales;7.04;2.49;35.37;Hammerstrom et al. 1998
North Atlantic;60°14'N;21°40'E;Fucus vesiculosus (control sites apical parts);Fucales;9.17;7.52;81.96;Hemmi et al. 2005
North Atlantic;60°14'N;21°40'E;Fucus vesiculosus (control sites basal parts);Fucales;9.34;8.85;94.81;Hemmi et al. 2005
North Atlantic;60°14'N;21°40'E;Fucus vesiculosus (fish farms apical parts);Fucales;10.93;5.93;54.24;Hemmi et al. 2005
North Atlantic;60°14'N;21°40'E;Fucus vesiculosus (fish farms basal parts);Fucales;10.85;8.18;75.43;Hemmi et al. 2005
South Atlantic;64°46'S;64°04'W;Adenocystis utricularis;Ectocarpales;1.6;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Ascoseira mirabilis (blade tip);Ascoseirales;1.6;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Ascoseira mirabilis (holdfast);Ascoseirales;6.27;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Ascoseira mirabilis (middle blade);Ascoseirales;2.27;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Chordaria linearis;Ectocarpales;2;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Cystophaera jacquinotii (main axis);Fucales;2.67;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Cystophaera jacquinotii (middle blade);Fucales;2.93;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Cystophaera jacquinotii (pneumatocysts);Fucales;0.53;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Cystophaera jacquinotii (receptacles);Fucales;4.53;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia anceps (branch);Desmarestiales;4;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia anceps (holdfast);Desmarestiales;2;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia anceps (stipe);Desmarestiales;4.53;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia antarctica (branch);Desmarestiales;8.93;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia antarctica (holdfast);Desmarestiales;3.2;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia menziesii (branch);Desmarestiales;1.33;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Desmarestia menziesii (holdfast);Desmarestiales;2.8;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Himantothallus grandifolius (blade tip);Desmarestiales;6.27;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Himantothallus grandifolius (holdfast);Desmarestiales;6.8;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Himantothallus grandifolius (middle blade);Desmarestiales;5.2;n.g.;n.c.;Iken et al. 2007
South Atlantic;64°46'S;64°04'W;Phaeurus antarcticus;Desmarestiales;4.93;n.g.;n.c.;Iken et al. 2007
North Atlantic;60°14'N;21°59'E;Fucus vesiculosus (exposed. atached);Fucales;5.6;1.6;28.57;Ilvessalo & Tuomi 1989
North Atlantic;60°14'N;21°59'E;Fucus vesiculosus (sheltered. attached);Fucales;8.6;1;11.63;Ilvessalo & Tuomi 1989
North Atlantic;60°14'N;21°59'E;Fucus vesiculosus (sheltered. loose);Fucales;9.9;1.5;15.15;Ilvessalo & Tuomi 1989
North Atlantic;60°06'N;22°18'E;Fucus vesiculosus;Fucales;4.6;0.77;16.84;Jormalainen et al. 2003
North IP;35°33'N;135°50'E;Myagropsis myagroides;Fucales;3.18;2.71;85.25;Kamiya et al. 2010
North IP;35°33'N;135°50'E;Sargassum confusum;Fucales;9.12;3.18;34.82;Kamiya et al. 2010
North IP;35°33'N;135°50'E;Sargassum hemiphyllum;Fucales;7.06;3.64;51.57;Kamiya et al. 2010
North IP;35°33'N;135°50'E;Sargassum patens;Fucales;6.35;3.18;50.01;Kamiya et al. 2010
North IP;35°33'N;135°50'E;Sargassum siliquastrum;Fucales;5.65;2.25;39.76;Kamiya et al. 2010
North IP;33°22'N;126°31'E;Ecklonia cava;Laminariales;5.66;0.04;0.76;Kim et al. 2006
South IP;32°19'S;71°28'W;Lessonia spicata;Laminariales;1.95;0.35;18.1;Koch et al. 2015
South IP;30°50'S;71°41'W;Lessonia spicata;Laminariales;0.81;0.35;43.58;Koch et al. 2015
South IP;29°49'S;71°17'W;Lessonia berteroana;Laminariales;2.68;2.82;105.22;Koch et al. 2015
South IP;29°12'S;71°29'W;Lessonia berteroana;Laminariales;4.68;1.3;27.67;Koch et al. 2015
South IP;29°09'S;71°29'W;Lessonia spicata;Laminariales;0.94;0.47;50.21;Koch et al. 2015
South IP;29°04'S;71°29'W;Lessonia spicata;Laminariales;1.09;0.82;75.5;Koch et al. 2015
South IP;28°11'S;71°09'W;Lessonia berteroana;Laminariales;4.21;1.41;33.56;Koch et al. 2015
South IP;27°39'S;70°58'W;Lessonia berteroana;Laminariales;2.47;1.41;57.21;Koch et al. 2015
North Atlantic;60°14'N;21°40'E;Fucus vesiculosus;Fucales;7.99;0.23;2.88;Koivikko et al. 2005
North Atlantic;59°49'N;21°36'E;Fucus vesiculosus;Fucales;6.92;1.49;21.54;Koivikko et al. 2008
North Atlantic;60°21'N;22°32'E;Fucus vesiculosus;Fucales;7.47;1.52;20.4;Koivikko et al. 2008
