Hemisphere;Latitude;Longitude;Species;Order;Mean;SD;CV (%);Reference
South Atlantic;16°24'S;39°02’ W;Lobophora variegata;Dictyotales;0.8;0.53;65.3;Present study
South Atlantic;16°24'S;39°02’ W;Padina gymnospora;Dictyotales;0.13;0.06;42.7;Present study
South Atlantic;16°24'S;39°02’ W;Sargassum vulgare;Fucales;0.1;0.02;18.1;Present study
South Atlantic;14°56'S;39°00’ W;Padina gymnospora;Dictyotales;0.05;0;+;Present study
South Atlantic;14°28'S;39°01’ W;Padina gymnospora;Dictyotales;0.19;0.01;+;Present study
South Atlantic;14°48'S;39°01’ W;Padina gymnospora;Dictyotales;0.26;0.03;+;Present study
South Atlantic;14°28'S;39°01’ W;Sargassum filipendula;Fucales;0.38;0.1;25.6;Present study
South Atlantic;14°56'S;39°00’ W;Sargassum vulgare;Fucales;0.14;0.04;26.3;Present study
South Atlantic;14°28'S;39°01’ W;Sargassum vulgare;Fucales;0.19;0.1;53.9;Present study
South Atlantic;14°48'S;39°01’ W;Sargassum vulgare;Fucales;0.72;0.15;20.7;Present study
South Atlantic;12°57'S;38°22’ W;Dictyopteris delicatula;Dictyotales;0.08;0.01;19.1;Present study
South Atlantic;12°57'S;38°22’ W;Dictyota pfaffii;Dictyotales;0.1;0.02;16.6;Present study
South Atlantic;12°57'S;38°22’ W;Lobophora variegata;Dictyotales;0.12;0;+;Present study
South Atlantic;12°57'S;38°22’ W;Sargassum filipendula;Fucales;0.09;0.01;7.6;Present study
South Atlantic;8°21'S;34°57’ W;Canistrocarpus cervicornis;Dictyotales;0.13;0.01;8.5;Present study
South Atlantic;8°20'S;34°56’ W;Dictyopteris delicatula;Dictyotales;0.22;0.01;7.7;Present study
South Atlantic;8°22'S;34°56’ W;Dictyota mertensii;Dictyotales;0.19;0.01;5.2;Present study
South Atlantic;8°20'S;34°56’ W;Lobophora variegata;Dictyotales;0.9;0.22;24.1;Present study
South Atlantic;8°22'S;34°56’W;Padina gymnospora;Dictyotales;0.07;0.01;13.1;Present study
South Atlantic;8°21'S;34°57’ W;Sargassum vulgare var. nanum;Fucales;0.13;0.08;6.5;Present study
South Atlantic;8°21'S;34°57’ W;Sargassum vulgare var. vulgare;Fucales;0.13;0.02;15;Present study
South Atlantic;6°10'S;35°05’ W;Padina gymnospora;Dictyotales;0.4;0.02;+;Present study
North Atlantic;53°09'N;9°85'W;Ascophyllum nodosum;Fucales;6.66;0.7;10.51;Quéguineur et al. 2013
North Atlantic;53°09'N;9°85'W;Himanthalia elongata;Fucales;2.79;0.55;19.71;Quéguineur et al. 2013
North IP;9°16'N;79°12'E;Dictyota dichotoma;Dictyotales;0.69;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Dictyota dichotoma juvenile;Dictyotales;0.67;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Hydroclathrus clathratus;Ectocarpales;0.35;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Lobophora variegata;Dictyotales;2.06;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Padina gymnospora;Dictyotales;0.5;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Padina tetrastromatica;Dictyotales;0.44;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Sargassum myriocystum;Fucales;1.31;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Sargassum myriocystum (air bladder);Fucales;1.68;n.g.;n.c.;Rao & Untawale 1991
North IP;17°42'N;83°15'E;Sargassum polycystum;Fucales;0.85;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Sargassum wightii;Fucales;1.23;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Sargassum wightii (air bladder);Fucales;1.09;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Stoechospermum marginatum;Dictyotales;0.77;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Stoechospermum marginatum;Dictyotales;0.42;n.g.;n.c.;Rao & Untawale 1991
North IP;9°16'N;79°12'E;Turbinaria conoides;Fucales;1.57;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Dictyota dichotoma;Dictyotales;0.46;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Padina gymnospora;Dictyotales;0.91;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Padina tetrastromatica;Dictyotales;1.03;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Sargassum cinereum;Fucales;0.69;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Spatoglossum asperum;Dictyotales;0.33;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Sphacelaria furcigera;Sphaceraliales;0.23;n.g.;n.c.;Rao & Untawale 1991
North IP;15°29'N;74°02'E;Stoechospermum marginatum;Dictyotales;0.42;n.g.;n.c.;Rao & Untawale 1991
North IP;17°42'N;83°15'E;Rosenvingea rathragensis;Ectocarpales;0.37;n.g.;n.c.;Rao & Untawale 1991
North IP;17°42'N;83°15'E;Sargassum vulgare;Fucales;0.67;n.g.;n.c.;Rao & Untawale 1991
North Atlantic;41°41'N;8°51'W;Laminaria ochroleuca;Laminariales;0.02;0;3.33;Rodil et al. 2015a
North Atlantic;41°41'N;8°51'W;Sargassum muticum;Fucales;0.07;0.01;10.61;Rodil et al. 2015a
North Atlantic;42°34'N;9°3'W;Laminaria ochroleuca;Laminariales;0.12;0.04;33.22;Rodil et al. 2015b
North Atlantic;42°34'N;9°3'W;Sargassum muticum;Fucales;0.1;0.03;26.69;Rodil et al. 2015b
North IP;27°28'N;52°47'E;Colpomenia sinuosa;Ectocarpales;0.01;n.g.;n.c.;Sadati et al. 2011
North IP;27°28'N;52°47'E;Cystoseira myrica;Fucales;0.01;n.g.;n.c.;Sadati et al. 2011
North IP;27°28'N;52°47'E;Sargassum swartzii;Fucales;0.01;n.g.;n.c.;Sadati et al. 2011
North IP;51°47'N;178°04'W;Eualaria fistulosa (barren areas);Laminariales;1.47;1.06;71.99;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (barren areas);Laminariales;1.75;1.48;84.66;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (barren areas);Laminariales;2;0.82;41.01;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (barren areas);Laminariales;3.06;0.82;26.8;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (barren areas);Laminariales;3.34;0.16;4.75;Schuster & Konar 2014
North IP;51°52'N;176°36'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;2.81;0.74;26.36;Schuster & Konar 2014
North IP;51°56'N;177°38'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.13;2.49;79.58;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.44;1.65;48.07;Schuster & Konar 2014
North IP;51°47'N;178°04'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.66;0.33;7.1;Schuster & Konar 2014
North IP;51°49'N;177°38'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.94;0.82;16.6;Schuster & Konar 2014
North IP;52°42'N;174°05'W;Eualaria fistulosa (barren areas);Laminariales;0.88;0.82;93.74;Schuster & Konar 2014
North IP;52°42'N;174°05'W;Eualaria fistulosa (barren areas);Laminariales;5.13;0.9;17.55;Schuster & Konar 2014
North IP;52°53'N;169°51'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;3.38;2.8;83.1;Schuster & Konar 2014
North IP;52°42'N;174°05'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.16;0.74;17.81;Schuster & Konar 2014
North IP;53°38'N;166°25'W;Eualaria fistulosa (barren areas);Laminariales;4.4;0.99;22.55;Schuster & Konar 2014
North IP;53°38'N;166°25'W;Eualaria fistulosa (foliose algal assemblages);Laminariales;4.06;1.24;30.63;Schuster & Konar 2014
North IP;35°08'N;130°36'E;Ecklonia bicyclis;Laminariales;3.1;n.g.;n.c.;Shibata et al. 2004
North IP;35°08'N;130°36'E;Ecklonia cava;Laminariales;3.3;n.g.;n.c.;Shibata et al. 2004
North IP;35°08'N;130°36'E;Eisenia kurome;Laminariales;3;n.g.;n.c.;Shibata et al. 2004
South IP;22°21'S;114°10'E;Cystoseira trinoids;Fucales;0.38;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Dictyopteris australis;Dictyotales;1.92;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Dictyota spiralis;Dictyotales;0.31;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Lobophora variegata;Dictyotales;1.46;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Padina spp.;Dictyotales;1.13;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Sargassum spp. 2;Fucales;0.83;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Sargassum spp. 3;Fucales;0.67;n.g.;n.c.;Steinberg & Paul 1990
South IP;22°21'S;114°10'E;Sargassum spp.1;Fucales;0.46;n.g.;n.c.;Steinberg & Paul 1990
South IP;34°S;140°;Cystophora moniliformis;Fucales;7.13;1.03;14.43;Steinberg & Van Altena 1992
South IP;34°S;140°;Ecklonia radiata;Laminariales;7.46;0.65;8.69;Steinberg & Van Altena 1992
South IP;34°S;140°;Homoeostrichus sinclairii;Dictyotales;3.11;0.27;8.63;Steinberg & Van Altena 1992
South IP;34°S;140°;Phyllospora comosa;Fucales;2.16;0.51;23.81;Steinberg & Van Altena 1992
South IP;34°S;140°;Sargassum globulariaefolium;Fucales;7.19;0.54;7.46;Steinberg & Van Altena 1992
South IP;34°S;140°;Sargassum linearifolium;Fucales;2.63;0.31;11.9;Steinberg & Van Altena 1992
South IP;34°S;140°;Sargassum sp.1;Fucales;2.85;0.34;11.77;Steinberg & Van Altena 1992
South IP;34°S;140°;Sargassum vestitum;Fucales;6.63;0.63;9.44;Steinberg & Van Altena 1992
South IP;34°S;140°;Zonaria diesigiana;Dictyotales;6.67;0.58;8.72;Steinberg & Van Altena 1992
North IP;33°15'N;151°E;Dictyota flabellata;Dictyotales;4.04;0.2;4.85;Steinberg 1985
North IP;36°N;121°W;Analipus japonicus;Ralfsiales;4.24;0.82;19.39;Steinberg 1985
North IP;36°N;121°W;Coilodesme californica;Ectocarpales;0.43;0.4;92.09;Steinberg 1985
North IP;36°N;121°W;Cystoseira osmundaceae;Fucales;4.42;0.86;19.51;Steinberg 1985
North IP;36°N;121°W;Dictyoneurum pyrifera;Laminariales;5.41;2.02;37.41;Steinberg 1985
North IP;36°N;121°W;Egregia menziesii;Laminariales;0.96;0.31;32.61;Steinberg 1985
North IP;36°N;121°W;Fucus distichus;Fucales;4.35;1.12;25.75;Steinberg 1985
North IP;36°N;121°W;Laminaria dentigera;Laminariales;0.49;0.22;45.18;Steinberg 1985
North IP;36°N;121°W;Macrocystis pyrifera;Laminariales;1.07;0.51;47.29;Steinberg 1985
North IP;36°N;121°W;Nereocystis luetkeana;Laminariales;0.44;0.28;64.68;Steinberg 1985
North IP;36°N;121°W;Pelvetia fastigiata;Fucales;4.33;0.98;22.64;Steinberg 1985
North IP;36°N;121°W;Pelvetiopsis limitata;Fucales;4.93;1.03;20.93;Steinberg 1985
North IP;36°N;121°W;Postelsia palmaeformis;Laminariales;1.65;0.25;15.43;Steinberg 1985
South IP;38°S;140°E;Sargassum muticum;Fucales;3.77;0.91;24.04;Steinberg 1986
South IP;38°S;140°E;Sargassum sinclairii;Fucales;11.58;1.05;9.04;Steinberg 1986
South IP;35°S;140°E;Sargassum bracteolosum;Fucales;11.05;0.69;6.21;Steinberg 1986
South IP;35°S;140°E;Sargassum decipiens;Fucales;4.97;1.36;27.44;Steinberg 1986
South IP;35°S;140°E;Sargassum sp. 1;Fucales;7.11;0.98;13.77;Steinberg 1986
South IP;32°S;140°E;Sargassum globulariaefolium (summer);Fucales;6.52;1.98;30.29;Steinberg 1986
South IP;32°S;140°E;Sargassum globulariaefolium (winter fresh);Fucales;8.82;1.45;21.19;Steinberg 1986
South IP;32°S;140°E;Sargassum globulariaefolium (winter frozen);Fucales;6.07;1.69;27.84;Steinberg 1986
South IP;32°S;140°E;Sargassum linearifolium;Fucales;4.07;1.68;41.37;Steinberg 1986
South IP;32°S;140°E;Sargassum sp. 2;Fucales;3.18;0.66;20.75;Steinberg 1986
South IP;32°S;140°E;Sargassum sp. 6 (fresh);Fucales;7.85;1.76;22.47;Steinberg 1986
South IP;32°S;140°E;Sargassum sp. 6 (frozen);Fucales;8.18;1.92;23.51;Steinberg 1986
South IP;23°S;149°W;Sargassum sp. B;Fucales;0.26;0.07;28.26;Steinberg 1986
South IP;23°S;149°W;Turbinaria ornata;Fucales;0.97;0.44;45.64;Steinberg 1986
South IP;18°S;149°W;Sargassum sp. A;Fucales;0.35;0.12;34.29;Steinberg 1986
South IP;18°S;149°W;Turbinaria ornata;Fucales;0.93;0.22;24.04;Steinberg 1986
South IP;17°S;149°W;Sargassum spp.;Fucales;1.59;0.85;53.38;Steinberg 1986
South IP;17°S;149°W;Turbinaria ornata;Fucales;0.77;0.24;31.49;Steinberg 1986
North IP;38°N;140°E;Sargassum muticum;Fucales;3.77;0.91;24.04;Steinberg 1986
South IP;36°16'S;174°E;Carpophyllum angustifolium;Fucales;10.14;0.69;2.41;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Carpophyllum flexuosum;Fucales;9.34;0.64;6.85;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Carpophyllum maschalocarpum;Fucales;10.37;0.58;1.98;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Carpophyllum plumosum;Fucales;9.8;0.31;1.12;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Cystophora torulosa;Fucales;4.93;0.23;1.76;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Ecklonia radiata;Laminariales;9.28;0.44;1.09;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Hormosira banksii;Fucales;3.75;0.17;2.03;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Landsburgia quercifolia;Fucales;4.29;0.44;3.63;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Lessonia variegata;Laminariales;1.3;0.27;8.48;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Sargassum sinclairii;Fucales;11.58;0.37;1.13;Steinberg 1989 (summer data)
South IP;36°16'S;174°E;Xiphophora chondrophylla;Fucales;3.18;0.17;1.89;Steinberg 1989 (summer data)
South IP;35°S;138°E;Caulocystis cephalornithos;Fucales;4.42;0.39;3.33;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora brownii;Fucales;13.02;0.56;2.15;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora expansa;Fucales;8.87;1.17;5.39;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora monilifera;Fucales;7.63;0.75;3.28;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora moniliformis;Fucales;12.16;1.01;3.39;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora platylobium;Fucales;4.46;1.43;18.51;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora polycistidea;Fucales;6.66;0.77;3.85;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora siliquosa;Fucales;13.1;0.64;1.85;Steinberg 1989 (summer data)
South IP;35°S;138°E;Cystophora subfarcinata;Fucales;12.16;0.62;1.47;Steinberg 1989 (summer data)
South IP;35°S;138°E;Ecklonia radiata;Laminariales;7.46;0.86;3.08;Steinberg 1989 (summer data)
South IP;35°S;138°E;Sargassum bracteolosum;Fucales;11.46;0.99;3.05;Steinberg 1989 (summer data)
South IP;35°S;138°E;Sargassum decipiens;Fucales;5.18;0.2;1.58;Steinberg 1989 (summer data)
South IP;35°S;138°E;Sargassum sp. 2;Fucales;4.24;0.55;5.3;Steinberg 1989 (summer data)
South IP;35°S;138°E;Sargassum sp. 3 (linearifolium?);Fucales;6.92;0.38;2.24;Steinberg 1989 (summer data)
South IP;35°S;138°E;Sargassum sp. 4;Fucales;4.46;0.49;6.34;Steinberg 1989 (summer data)
South IP;35°S;138°E;Scaberia agardhii;Fucales;7.25;0.87;4.9;Steinberg 1989 (summer data)
South IP;35°S;138°E;Scytothalia dorycarpa;Fucales;6.01;0.71;4.82;Steinberg 1989 (summer data)
South IP;35°S;138°E;Seirococcus axillaris;Fucales;4.64;0.54;5.2;Steinberg 1989 (summer data)
South IP;33°S;151°E;Acrocarpia paniculata;Fucales;5.16;0.91;6.67;Steinberg 1989 (summer data)
South IP;33°S;151°E;Cystophora moniliformis;Fucales;9.21;0.6;1.96;Steinberg 1989 (summer data)
South IP;33°S;151°E;Ecklonia radiata;Laminariales;5.48;0.56;2.34;Steinberg 1989 (summer data)
South IP;33°S;151°E;Hormosira banksii;Fucales;3.47;0.49;5.34;Steinberg 1989 (summer data)
South IP;33°S;151°E;Phyllospora comosa;Fucales;2.67;0.48;4.12;Steinberg 1989 (summer data)
South IP;33°S;151°E;Sargassum linearifolium;Fucales;4.02;0.28;1.8;Steinberg 1989 (summer data)
South IP;33°S;151°E;Sargassum sp. 1;Fucales;3;0.37;4.66;Steinberg 1989 (summer data)
South IP;33°S;151°E;Sargassum sp. 5;Fucales;3.18;0.33;5.19;Steinberg 1989 (summer data)
South IP;33°S;151°E;Sargassum vestitum;Fucales;6.71;0.42;1.52;Steinberg 1989 (summer data)
South IP;38°09'S;144°52'E;Durvillae potatorum;Fucales;0.63;0.27;42.59;Steinberg 1989 (winter data)
South IP;38°09'S;144°52'E;Macrocystis angustifolia;Laminariales;0.62;0.2;31.61;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Carpophyllum angustifolium;Fucales;13.66;2.43;17.82;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Carpophyllum maschalocarpum;Fucales;11.33;1.52;13.42;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Carpophyllum plumosum;Fucales;7.68;2.06;26.88;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Cystophora torulosa;Fucales;5.26;1.15;21.89;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Ecklonia radiata;Laminariales;11.19;2.84;25.38;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Landsburgia quercifolia;Fucales;5.01;1.15;22.98;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Sargassum sinclairii;Fucales;10.18;2.18;21.41;Steinberg 1989 (winter data)
South IP;36°16'S;174°E;Xiphophora chondrophylla;Fucales;2.18;0.64;29.21;Steinberg 1989 (winter data)
South IP;33°S;151°E;Ecklonia radiata;Laminariales;5.63;2.01;35.75;Steinberg 1989 (winter data)
South IP;33°S;151°E;Sargassum globulariaefolium;Fucales;7.85;1.64;20.91;Steinberg 1989 (winter data)
South IP;33°S;151°E;Sargassum linearifolium;Fucales;1;0.32;31.75;Steinberg 1989 (winter data)
South IP;33°S;151°E;Sargassum vestitum;Fucales;6.97;1.42;20.38;Steinberg 1989 (winter data)
South IP;33°59'S;150°39'E;Homoeostrichus sinclairii;Dictyotales;3.76;0.58;15.46;Steinberg et al. 1991
South IP;33°59'S;150°39'E;Sargassum globulariaefolium;Fucales;6.83;0.63;9.17;Steinberg et al. 1991
South IP;33°59'S;150°39'E;Sargassum linearifolium;Fucales;1.99;0.42;21.35;Steinberg et al. 1991
South IP;33°59'S;150°39'E;Sargassum sp. E;Fucales;7.61;1.72;22.63;Steinberg et al. 1991
South IP;33°59'S;150°39'E;Sargassum vestitum;Fucales;5.7;0.63;10.98;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Hormophysa triquetra;Fucales;2.32;0.25;10.6;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Padina spp.;Dictyotales;2.49;0.54;22.36;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum decurrens;Fucales;2.75;0.98;35.78;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum linearifolium;Fucales;2.06;0.49;23.88;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum oligocystum;Fucales;2.51;0.38;15.14;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum polycystum;Fucales;1.82;0.4;22.11;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum sp. A;Fucales;2.05;0.6;29.45;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum sp. B;Fucales;2.14;0.54;25.08;Steinberg et al. 1991
South IP;10°15'S;146°48'E;Sargassum sp. D;Fucales;2.53;0.45;17.68;Steinberg et al. 1991
South IP;17°41'S;149°35'W;Sargassum mangarevense;Fucales;0.5;0.03;5.4;Stiger et al. 2004
South IP;17°41'S;149°35'W;Sargassum mangarevense;Fucales;0.96;0.01;0.63;Stiger et al. 2004
South IP;17°38'S;149°36'W;Sargassum mangarevense (inner barrier reef);Fucales;0.69;0.01;1.31;Stiger et al. 2004
South IP;17°38'S;149°36'W;Sargassum mangarevense (outer barrier reef);Fucales;0.38;0.03;6.77;Stiger et al. 2004
South IP;17°41'S;149°35'W;Turbinaria ornata;Fucales;1.41;0.03;1.77;Stiger et al. 2004
South IP;17°44'S;149°50'W;Turbinaria ornata;Fucales;1.58;0.02;0.95;Stiger et al. 2004
South IP;17°41'S;149°35'W;Turbinaria ornata (fringing reef);Fucales;1.29;0.01;0.93;Stiger et al. 2004
South IP;17°38'S;149°36'W;Turbinaria ornata (inner barrier reef);Fucales;1.12;0.01;1.07;Stiger et al. 2004
South IP;17°38'S;149°36'W;Turbinaria ornata (outer barrier reef);Fucales;1.12;0;0.36;Stiger et al. 2004
North Atlantic;60°35'N;8°51'W;Sargassum muticum;Fucales;7.75;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;60°35'N;8°51'W;Sargassum muticum;Fucales;14.5;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;60°35'N;8°51'W;Sargassum muticum;Fucales;17.13;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;37°49'N;8°46'W;Sargassum muticum;Fucales;14.5;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;37°38'N;8°46'W;Sargassum muticum;Fucales;17.63;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;37°31'N;8°46'W;Sargassum muticum;Fucales;15.88;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;48°21'N;4°34'W;Sargassum muticum;Fucales;10.88;n.g.;n.c.;Tanniou et al. 2014
North Atlantic;48°20'N;4°34'W;Sargassum muticum;Fucales;10.88;n.g.;n.c.;Tanniou et al. 2015
North Atlantic;48°21'N;4°34'W;Sargassum muticum;Fucales;10.88;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;42°13'N;4°50'E;Sargassum muticum;Fucales;7.25;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;42°11'N;4°50'E;Sargassum muticum;Fucales;8.25;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;42°20'N;4°50'E;Sargassum muticum;Fucales;5.63;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;53°28'N;10°1'W;Sargassum muticum;Fucales;9.25;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;52°51'N;9°26'W;Sargassum muticum;Fucales;7.75;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;52°50'N;9°24'W;Sargassum muticum;Fucales;8;n.g.;n.c.;Tanniou et al. 2013
North Atlantic;17°N;88°W;Dictyota divaricata;Dictyotales;1.34;0.36;26.86;Targett et al. 1992
North Atlantic;17°N;88°W;Lobophora variegata (decumbent);Dictyotales;13.39;3.5;26.14;Targett et al. 1992
North Atlantic;17°N;88°W;Lobophora variegata (incrusting);Dictyotales;8.33;0.94;11.28;Targett et al. 1992
North Atlantic;17°N;88°W;Lobophora variegata (ruffled);Dictyotales;10.23;0.67;6.55;Targett et al. 1992
North Atlantic;17°N;88°W;Padina jamaicensis;Dictyotales;1.79;0.36;20.11;Targett et al. 1992
North Atlantic;17°N;88°W;Sargassum hystrix;Fucales;4.6;1.75;38.04;Targett et al. 1992
North Atlantic;17°N;88°W;Sargassum polyceratium;Fucales;3.37;0.45;13.35;Targett et al. 1992
North Atlantic;17°N;88°W;Stypopodium zonale;Dictyotales;14.92;2.93;19.64;Targett et al. 1992
North Atlantic;17°N;88°W;Turbinaria tricostata;Fucales;3.99;1.24;31.08;Targett et al. 1992
North Atlantic;17°N;88°W;Turbinaria turbinata;Fucales;4.59;0.78;16.99;Targett et al. 1992
North IP;21°N;157°W;Lobophora variegata (incrusting);Dictyotales;0.81;0.22;27.16;Targett et al. 1992
North Atlantic;38°N;75°W;Fucus vesiculosus;Fucales;1.3;0.17;13.08;Targett et al. 1992
North IP;38°N;119°W;Macrocystis pyrifera;Laminariales;1.22;0.23;18.85;Targett et al. 1992
North Atlantic;45°N;69°W;Ascophyllum nodosum;Fucales;3.03;0.54;17.82;Targett et al. 1992
North IP;47°N;120°W;Fucus distichus;Fucales;4.12;0.38;9.22;Targett et al. 1992
North Atlantic;47°N;69°W;Fucus vesiculosus;Fucales;4.71;1.6;33.97;Targett et al. 1992
North IP;47°N;120°W;Nereocystis luetkeana;Laminariales;0.52;0.01;1.92;Targett et al. 1992
North Atlantic;16°48'N;88°6'W;Lobophora variegata;Dictyotales;11.21;3.84;34.26;Targett et al. 1995
North Atlantic;16°48'N;88°6'W;Sargassum fluitans;Fucales;0.74;0.13;17.57;Targett et al. 1995
North Atlantic;16°48'N;88°6'W;Stypopodium zonale;Dictyotales;3.25;1.46;44.92;Targett et al. 1995
North Atlantic;17°18'N;87°32'W;Lobophora variegata;Dictyotales;10.82;1.03;9.52;Targett et al. 1995
North Atlantic;17°13'N;87°54'W;Lobophora variegata;Dictyotales;14.66;0.9;6.14;Targett et al. 1995
North Atlantic;20°26'N;86°54'W;Lobophora variegata;Dictyotales;11.09;3.96;35.71;Targett et al. 1995
North IP;21°N;157°W;Dictyota divaricata;Dictyotales;1.07;0.23;21.5;Targett et al. 1995
North Atlantic;21°47'N;72°18'W;Lobophora variegata;Dictyotales;6.95;1.9;27.34;Targett et al. 1995
North IP;21°N;157°W;Padina japonica;Dictyotales;3.79;0.52;13.72;Targett et al. 1995
North IP;21°N;157°W;Sargassum echinocarpum (non reproductive);Fucales;2.03;0.6;29.56;Targett et al. 1995
North IP;21°N;157°W;Sargassum echinocarpum (reproductive);Fucales;1.38;0.25;18.12;Targett et al. 1995
North Atlantic;21°47'N;72°18'W;Sargassum hystrix var. buxifolium;Fucales;2.94;n.g.;n.c.;Targett et al. 1995
North Atlantic;21°47'N;72°18'W;Sargassum platycarpum;Fucales;0.98;n.g.;n.c.;Targett et al. 1995
North IP;21°N;157°W;Turbinaria ornata;Fucales;1.56;0.36;23.08;Targett et al. 1995
North Atlantic;22°21'N;73°58'W;Lobophora variegata;Dictyotales;25.45;4.42;17.37;Targett et al. 1995
North Atlantic;22°21'N;73°58'W;Lobophora variegata (ruffled);Dictyotales;10.32;0.77;7.46;Targett et al. 1995
North Atlantic;24°43'N;76°49'W;Lobophora variegata;Dictyotales;11.87;2.32;19.55;Targett et al. 1995
North Atlantic;32°19'N;64°43'W;Colpomenia sinuosa;Ectocarpales;1.74;0.3;17.24;Targett et al. 1995
North Atlantic;32°20'N;64°44'W;Dictyopteris justii;Dictyotales;5.62;0.81;14.41;Targett et al. 1995
