"Ocean","Longitude","Latitude","Scientific name","Order","Mean","CV","Reference"
"North IP",-123.033333333333,48.5333333333333,"Alaria marginata","Laminariales",3.08,0.415584415584416,"Van Alstyne et al. 1999b"
"North IP",-123.033333333333,48.5333333333333,"Laminaria complanata","Laminariales",2.26,0.442477876106195,"Van Alstyne et al. 1999a"
"North IP",-123,48.3833333333333,"Alaria marginata","Laminariales",1.35,0.140740740740741,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Costaria costata","Laminariales",0.71,0.267605633802817,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Egregia menziesii","Laminariales",0.25,0.12,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Fucus distichus","Fucales",5.36,0.276119402985075,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Hedophyllum sessile","Laminariales",1.96,0.280612244897959,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Laminaria dentigera","Laminariales",0.72,0.694444444444444,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Nereocystis luetkeana","Laminariales",0.59,0.11864406779661,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Pelvetiopsis limitata","Fucales",11.12,0.173561151079137,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Postelsia palmaeformis","Laminariales",0.49,1,"Van Alstyne & Paul 1990"
"North IP",-123,48.3833333333333,"Fucus distichus","Fucales",9.64,0.216804979253112,"Van Alstyne 1988"
"North IP",-124.05,44.6666666666667,"Alaria marginata","Laminariales",0.73,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Alaria marginata","Laminariales",0.82,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Costaria costata","Laminariales",0.18,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Egregia menziesii","Laminariales",0.27,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Egregia menziesii","Laminariales",0.77,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Fucus gardneri","Fucales",2.95,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Fucus gardneri","Fucales",4.04,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Fucus spiralis","Fucales",3.27,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Fucus spiralis","Fucales",3,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Hedophyllum sessile","Laminariales",0.45,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Hedophyllum sessile","Laminariales",1.04,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Lessoniopsis littoralis","Laminariales",0.18,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Lessoniopsis littoralis","Laminariales",1.36,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Nereocystis luetkeana","Laminariales",0.28,NA,"Van Alstyne et al. 2001"
"North IP",-124.05,44.6666666666667,"Nereocystis luetkeana","Laminariales",0.18,NA,"Van Alstyne et al. 2001"
"North IP",-124.066666666667,44.8333333333333,"Alaria marginata","Laminariales",2.88,0.232638888888889,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Costaria costata","Laminariales",0.34,0.0588235294117647,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Lessoniopsis littoralis","Laminariales",0.28,0.214285714285714,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Pelvetiopsis limitata","Fucales",4.41,0.122448979591837,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Alaria marginata","Laminariales",4.26,0.18075117370892,"Van Alstyne et al. 1999b"
"North IP",-124.066666666667,44.8333333333333,"Egregia menziesii","Laminariales",1.8,0.777777777777778,"Van Alstyne et al. 1999b"
"North IP",-124.066666666667,44.8333333333333,"Egregia menziesii","Laminariales",4.4,0.340909090909091,"Van Alstyne et al. 1999b"
"North IP",-124.066666666667,44.8333333333333,"Egregia menziesii","Laminariales",1.62,0.716049382716049,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Fucus gardneri","Fucales",5.21,0.147792706333973,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Fucus spiralis","Fucales",4.3,0.132558139534884,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Hedophyllum sessile","Laminariales",1.44,1.54861111111111,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Laminaria dentigera","Laminariales",0.32,0.59375,"Van Alstyne et al. 1999a"
"North IP",-124.066666666667,44.8333333333333,"Alaria marginata","Laminariales",2.05,0.273170731707317,"Van Alstyne et al. 1999b"
"North IP",-124.066666666667,44.8333333333333,"Alaria marginata","Laminariales",4,0.525,"Van Alstyne et al. 1999b"
"North IP",-124.166666666667,41.1333333333333,"Alaria marginata","Laminariales",0.31,0.32258064516129,"Van Alstyne et al. 1999b"
"North IP",-124.166666666667,41.1333333333333,"Alaria marginata","Laminariales",0.93,0.612903225806452,"Van Alstyne et al. 1999a"
"North IP",-124.166666666667,41.1333333333333,"Egregia menziesii","Laminariales",0.48,0.541666666666667,"Van Alstyne et al. 1999a"
